"Location","Expenses per Inpatient Day"
"United States","$2517"
"Alabama","$1544"
"Alaska","$2196"
"Arizona","$2687"
"Arkansas","$1880"
"California","$3532"
"Colorado","$3045"
"Connecticut","$2836"
"Delaware","$3038"
"District of Columbia","$3473"
"Florida","$2213"
"Georgia","$1845"
"Hawaii","$2644"
"Idaho","$3192"
"Illinois","$2636"
"Indiana","$2591"
"Iowa","$1599"
"Kansas","$1925"
"Kentucky","$1956"
"Louisiana","$2030"
"Maine","$2636"
"Maryland","$2815"
"Massachusetts","$3038"
"Michigan","$2400"
"Minnesota","$2379"
"Mississippi","$1371"
"Missouri","$2361"
"Montana","$1594"
"Nebraska","$2073"
"Nevada","$1991"
"New Hampshire","$2623"
"New Jersey","$2786"
"New Mexico","$2842"
"New York","$2877"
"North Carolina","$2234"
"North Dakota","$1839"
"Ohio","$2829"
"Oklahoma","$1971"
"Oregon","$3437"
"Pennsylvania","$2525"
"Rhode Island","$2809"
"South Carolina","$2058"
"South Dakota","$1543"
"Tennessee","$2147"
"Texas","$2604"
"Utah","$2935"
"Vermont","$2633"
"Virginia","$2081"
"Washington","$3552"
"West Virginia","$1813"
"Wisconsin","$2528"
"Wyoming","$1433"
