"Location","Expenses per Inpatient Day"
"United States","$2338"
"Alabama","$1480"
"Alaska","$2447"
"Arizona","$2479"
"Arkansas","$1707"
"California","$3421"
"Colorado","$2866"
"Connecticut","$2705"
"Delaware","$3146"
"District of Columbia","$2799"
"Florida","$2091"
"Georgia","$1740"
"Hawaii","$2412"
"Idaho","$2708"
"Illinois","$2431"
"Indiana","$2357"
"Iowa","$1517"
"Kansas","$1632"
"Kentucky","$1853"
"Louisiana","$1900"
"Maine","$2262"
"Maryland","$2694"
"Massachusetts","$2955"
"Michigan","$2245"
"Minnesota","$2208"
"Mississippi","$1176"
"Missouri","$2262"
"Montana","$1509"
"Nebraska","$1883"
"Nevada","$1895"
"New Hampshire","$2431"
"New Jersey","$2694"
"New Mexico","$2635"
"New York","$2559"
"North Carolina","$1919"
"North Dakota","$1998"
"Ohio","$2704"
"Oklahoma","$1795"
"Oregon","$3537"
"Pennsylvania","$2332"
"Rhode Island","$2814"
"South Carolina","$1941"
"South Dakota","$1333"
"Tennessee","$1810"
"Texas","$2321"
"Utah","$2825"
"Vermont","$2244"
"Virginia","$1959"
"Washington","$3467"
"West Virginia","$1702"
"Wisconsin","$2369"
"Wyoming","$1355"
