"Location","Expenses per Inpatient Day"
"United States","$2424"
"Alabama","$1554"
"Alaska","$2947"
"Arizona","$2641"
"Arkansas","$1765"
"California","$3441"
"Colorado","$2920"
"Connecticut","$2688"
"Delaware","$3026"
"District of Columbia","$3053"
"Florida","$2102"
"Georgia","$1798"
"Hawaii","$2322"
"Idaho","$3119"
"Illinois","$2515"
"Indiana","$2508"
"Iowa","$1558"
"Kansas","$1787"
"Kentucky","$1950"
"Louisiana","$1956"
"Maine","$2357"
"Maryland","$2748"
"Massachusetts","$3016"
"Michigan","$2318"
"Minnesota","$2329"
"Mississippi","$1349"
"Missouri","$2274"
"Montana","$1070"
"Nebraska","$1915"
"Nevada","$1985"
"New Hampshire","$2597"
"New Jersey","$2632"
"New Mexico","$2617"
"New York","$2729"
"North Carolina","$2098"
"North Dakota","$1831"
"Ohio","$2733"
"Oklahoma","$1930"
"Oregon","$3599"
"Pennsylvania","$2397"
"Rhode Island","$2740"
"South Carolina","$2047"
"South Dakota","$1505"
"Tennessee","$1984"
"Texas","$2520"
"Utah","$3026"
"Vermont","$2440"
"Virginia","$1953"
"Washington","$3429"
"West Virginia","$1986"
"Wisconsin","$2501"
"Wyoming","$1520"
